,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,0.26609107851982117,0.6733913421630859,0.1270262748003006,0.5104112803936005,0.08506422018348622,0.5803134328358208,-0.08223094940185538,0.018315018315018316,0.44122715547168195,0.5,130,39,lime
0,1.0,1.0,1.0,0.002550528384745121,0.9062790870666504,0.0046164495870471,0.5591937959194183,0.6310091743119266,1.0,0.6533211849629879,0.018315018315018316,0.4808497428894043,0.5,130,39,shap
0,1.0,1.0,1.0,0.20084379560681703,1.3353610764336052,0.22316788345692246,0.514251983165741,0.030752293577981628,1.0,0.3139071941375733,0.018315018315018316,0.533334493637085,0.5,130,39,l2x
