,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,0.414665162563324,0.01490310300141573,0.3276824951171875,0.5036368608474732,0.013651551312649174,0.647609756097561,-0.3035832405090333,0.023809523809523808,0.45046200032099926,0.2,120,30,lime
0,1.0,1.0,1.0,0.369843989610672,1.3423266410827637,0.2872222661972046,0.7026965320110321,0.3895942720763723,1.0,0.357880437374115,0.023809523809523808,0.34021830558776855,0.2,120,30,shap
0,1.0,1.0,1.0,0.3571370835424018,4.700460784096939,0.3059413348066864,0.5144454360008239,0.04162291169451073,1.0,0.3668918311595917,0.023809523809523808,0.45000046491622925,0.2,120,30,l2x
0,1.0,1.0,1.0,0.43385282158851624,0.20085835456848145,0.32243627309799194,0.46341286301612855,0.020047732696897386,0.664,-0.24961016178131112,0.023809523809523808,0.4439636787810893,0.2,125,30,lime
0,1.0,1.0,1.0,0.42009249329566956,0.061671845614910126,0.3071514368057251,0.7208137392997742,0.6513603818615751,1.0,0.1511958599090576,0.023809523809523808,0.4424314796924591,0.2,125,30,shap
0,1.0,1.0,1.0,0.36348745656030124,0.11539869626238553,0.32675266079954424,0.48917129039764407,0.02233890214797137,1.0,0.09112545251846316,0.023809523809523808,0.5333333611488342,0.2,125,30,l2x
0,1.0,1.0,1.0,0.4022669792175293,0.03643922507762909,0.35938122868537903,0.5730028867721557,0.023548130469371528,0.6947317073170731,-0.4237206697463989,0.023809523809523808,0.5148105522852051,0.2,130,30,lime
0,1.0,1.0,1.0,0.40051642060279846,0.03821571543812752,0.3576086759567261,0.8105862438678741,0.3494988066825776,1.0,0.22826210260391233,0.023809523809523808,0.4516351521015167,0.2,130,30,shap
0,1.0,1.0,1.0,0.4047322783870547,0.042842269293334664,0.3538420899925411,0.6245994746685029,0.02711217183770883,1.0,0.23844275474548338,0.023809523809523808,0.4000000059604645,0.2,130,30,l2x
0,1.0,1.0,1.0,0.4239506721496582,0.2100449502468109,0.33590495586395264,0.5215915143489838,0.05164677804295944,0.6865365853658536,-0.24641822576522832,0.023809523809523808,0.3215491492220056,0.3,120,30,lime
0,1.0,1.0,1.0,0.41780251264572144,0.21326199173927307,0.331141859292984,0.7943444609642029,0.3575656324582339,1.0,0.3636732276529073,0.023809523809523808,0.22545592486858368,0.3,120,30,shap
0,1.0,1.0,1.0,0.39144550039140436,0.07263674767651652,0.3518251835934324,0.5296823263168335,0.030930787589498816,1.0,0.2230825424194336,0.023809523809523808,0.6181818246841431,0.3,120,30,l2x
0,1.0,1.0,1.0,0.41830986738204956,0.0009158503962680697,0.32803982496261597,0.5265082120895386,0.014510739856801921,0.645560975609756,-0.3359545946121216,0.023809523809523808,0.295009636666349,0.3,125,30,lime
0,1.0,1.0,1.0,0.41183462738990784,0.09508047997951508,0.3233354091644287,0.8334991231560707,0.3463484486873508,1.0,0.16797912120819092,0.023809523809523808,0.5552889108657837,0.3,125,30,shap
0,1.0,1.0,1.0,0.41889153878130275,0.22490336646068476,0.35273455336626636,0.5493741750717163,0.025871121718377087,1.0,0.14633954167366026,0.023809523809523808,0.7428569793701172,0.3,125,30,l2x
0,1.0,1.0,1.0,0.42460697889328003,0.5143508911132812,0.3568137288093567,0.5239483892917634,0.011360381861575184,0.6127804878048781,-0.39238058328628544,0.023809523809523808,0.39284410533413056,0.3,130,30,lime
0,1.0,1.0,1.0,0.4157361388206482,0.5886934995651245,0.35054704546928406,0.815762197971344,0.4042959427207637,1.0,0.1487135767936707,0.023809523809523808,0.2592833638191223,0.3,130,30,shap
0,1.0,1.0,1.0,0.40025506742253675,0.056521708287461246,0.37119726222507615,0.5360803365707397,0.041145584725537,1.0,0.13785594701766968,0.023809523809523808,0.6333336234092712,0.3,130,30,l2x
