,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,0.4265928864479065,0.011691409163177013,0.3415754437446594,0.5510396778583526,0.03299435028248589,0.6799846743295019,-0.4181603074073792,0.018796992481203006,0.48280126073903773,0.3,125,38,lime
0,1.0,1.0,1.0,0.42411094903945923,0.024016520008444786,0.33891233801841736,0.8427644044160842,0.2781920903954802,1.0,0.25981310606002805,0.018796992481203006,0.457246333360672,0.3,125,38,shap
0,1.0,1.0,1.0,0.49905622224826907,0.016947673566550046,0.409089206996965,0.5889090359210968,0.032015065913371,1.0,0.191050511598587,0.018796992481203006,0.2500002682209015,0.3,125,38,l2x
0,1.0,1.0,1.0,0.4036847651004791,0.043905194848775864,0.3376815617084503,0.559911847114563,0.005499058380414311,0.7757854406130268,-0.22102500200271602,0.018796992481203006,0.37522592844800723,0.3,130,38,lime
0,1.0,1.0,1.0,0.3963289260864258,0.2145073115825653,0.33089402318000793,0.6935448348522186,0.5204143126177024,1.0,0.509561630175449,0.018796992481203006,0.23989057540893555,0.3,130,38,shap
0,1.0,1.0,1.0,0.4523956762621946,0.21818573305927647,0.37629564308036734,0.6075094699859619,0.0271939736346516,1.0,0.4219365835189819,0.018796992481203006,0.4857144057750702,0.3,130,38,l2x
0,1.0,1.0,1.0,0.4074118733406067,0.027673646807670593,0.34034600853919983,0.5099688231945038,0.0409039548022599,0.5699157088122605,-0.34115897417068486,0.018796992481203006,0.4917190290398405,0.5,120,38,lime
0,1.0,1.0,1.0,0.4009518623352051,0.07659048587083817,0.33535003662109375,0.8041333302855491,0.5826741996233522,1.0,0.28099799156188965,0.018796992481203006,0.4650447368621826,0.5,120,38,shap
0,1.0,1.0,1.0,0.41183521846731724,0.5433580130521005,0.35614806474268296,0.5231892168521881,0.04760828625235405,1.0,0.20497231483459477,0.018796992481203006,0.3428571820259094,0.5,120,38,l2x
0,1.0,1.0,1.0,0.41132134199142456,0.005088666919618845,0.3291798233985901,0.5713923811912537,0.04971751412429379,0.584183908045977,-0.5019741535186768,0.018796992481203006,0.4519313337885901,0.5,125,38,lime
0,1.0,1.0,1.0,0.4089849889278412,0.009767473675310612,0.32710957527160645,0.7816363006830216,0.4409792843691148,1.0,0.2578182935714721,0.018796992481203006,0.37038129568099976,0.5,125,38,shap
0,1.0,1.0,1.0,0.4210845685577655,0.006202226478532037,0.35887170913174543,0.6043099582195282,0.022674199623352174,1.0,0.22803093194961543,0.018796992481203006,0.553846001625061,0.5,125,38,l2x
0,1.0,1.0,1.0,0.39308953285217285,0.09150757640600204,0.3128032088279724,0.5150771081447602,0.23555555555555557,0.5943754789272031,-0.19745831489562993,0.018796992481203006,0.39509818318415646,0.5,130,38,lime
0,1.0,1.0,1.0,0.3897736072540283,0.6523215770721436,0.3094724118709564,0.7614535838365555,0.4200376647834275,1.0,0.3098462343215942,0.018796992481203006,0.33393198251724243,0.5,130,38,shap
0,1.0,1.0,1.0,0.403606944062853,0.01764917513115772,0.34988786905302394,0.43521074056625364,0.03653483992467043,1.0,0.2929274678230286,0.018796992481203006,0.4999992847442627,0.5,130,38,l2x
