idx,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,explainer,models,explainer_rec,completeness,nb_couches,nom_ligne
0,1.0,1.0,1.0,0.250001847743988,123.78204345703124,0.3060724139213562,0.6141244247555733,0.0423971377459749,lime_1c,1c,lime,0.008078716202056661,4,0_1c
0,1.0,1.0,1.0,0.147780492901802,0.4737275242805481,0.1833804100751876,0.5684322208166123,0.3135241502683363,shap_1c,1c,shap,0.4737275242805481,4,1_1c
0,1.0,1.0,0.9,0.1817037610331365,2.019101926400103,0.2229208650216828,0.6200885474681854,0.0358855098389982,l2x_1c,1c,l2x,0.4952696973465426,4,2_1c
0,1.0,1.0,1.0,0.161334678530693,573.3304443359375,0.1856637746095657,0.5554075181484223,0.1191413237924865,lime_1c,1c,lime,0.0017441948354203558,4,3_1c
0,1.0,1.0,1.0,0.1575631648302078,0.4267016351222992,0.181761234998703,0.5930141180753707,0.4720393559928443,shap_1c,1c,shap,0.4267016351222992,4,4_1c
0,1.0,1.0,1.0,0.1551157820132978,0.608091363020594,0.1791235488072582,0.5444970816373825,0.0524865831842576,l2x_1c,1c,l2x,0.608091363020594,4,5_1c
0,1.0,1.0,1.0,0.1448178142309188,32.490020751953125,0.2455578446388244,0.6306982189416885,0.0445199761478831,lime_1c,1c,lime,0.03077868147990904,4,6_1c
0,1.0,1.0,0.9,0.1413764059543609,0.5476188063621521,0.2434179186820984,0.6607671365141868,0.5830590339892666,shap_1c,1c,shap,0.5476188063621521,4,7_1c
0,1.0,1.0,1.0,0.1744056136947248,0.2055402757278769,0.2718032524821036,0.6695408686995507,0.0353130590339892,l2x_1c,1c,l2x,0.2055402757278769,4,8_1c
0,1.0,1.0,1.0,0.2273058444261551,0.1989703476428985,0.2511784434318542,0.5689982593059539,0.1134525939177102,lime_1c,1c,lime,0.1989703476428985,4,9_1c
0,1.0,1.0,1.0,0.2221259772777557,0.3643234372138977,0.2480888217687606,0.6889884486794472,0.4454561717352415,shap_1c,1c,shap,0.3643234372138977,4,10_1c
