,RMSE_val,RMSE_test,R2_test,Score_test,alpha,rul_piecewise,sequence_length
0,18.225854237739107,20.098626957479112,0.7762097120285034,1213.0219693920028,0.3,130,30
1,18.358794040010242,18.810209875929157,0.7762097120285034,1213.0219693920028,0.3,130,30
2,19.48712515675414,17.888259005077284,0.7762097120285034,1213.0219693920028,0.3,130,30
3,14.967604686905537,15.401560947459744,0.8158875505129496,710.5717866197821,0.5,120,30
4,15.614197926242731,17.371395477276568,0.8158875505129496,710.5717866197821,0.5,120,30
5,17.069297917503356,16.243025955504482,0.8158875505129496,710.5717866197821,0.5,120,30
6,15.267205709966369,16.478863221911453,0.8209555546442667,675.9577047245468,0.5,125,30
7,17.55892354042347,15.998667931069741,0.8209555546442667,675.9577047245468,0.5,125,30
8,16.84094237529155,15.91227149024893,0.8209555546442667,675.9577047245468,0.5,125,30
9,18.342709357460407,17.13303916210766,0.783665398756663,867.3794220290902,0.5,130,30
10,19.479221326237926,17.095131296136834,0.783665398756663,867.3794220290902,0.5,130,30
11,17.6106643272443,18.908387967886394,0.783665398756663,867.3794220290902,0.5,130,30
12,14.546898076646572,15.261314527477959,0.8221945563952128,662.6814067381814,0.2,120,35
13,15.831151765141332,16.37722133846939,0.8221945563952128,662.6814067381814,0.2,120,35
14,15.743852172374648,16.558588782858358,0.8221945563952128,662.6814067381814,0.2,120,35
15,17.38995727463618,17.287206603571494,0.7837385932604471,1086.337968904766,0.2,125,35
16,16.44591930293804,16.830509050416175,0.7837385932604471,1086.337968904766,0.2,125,35
17,17.493835235311735,18.996818018424715,0.7837385932604471,1086.337968904766,0.2,125,35
18,14.815701810633257,16.384337098958753,0.8272507985432943,714.141246969543,0.2,130,35
19,15.172297902995004,15.682437091840695,0.8272507985432943,714.141246969543,0.2,130,35
20,15.953877251026482,15.455587971001252,0.8272507985432943,714.141246969543,0.2,130,35
21,16.033975767296457,18.59151862024038,0.7737069129943848,1281.8972033488308,0.3,120,35
22,16.797300139968552,18.407051152765526,0.7737069129943848,1281.8972033488308,0.3,120,35
23,16.67098993814039,17.385936050198918,0.7737069129943848,1281.8972033488308,0.3,120,35
24,16.135696057371042,18.457922766034315,0.7890722354253134,975.2081693835122,0.3,125,35
25,18.355824124698813,17.445860772483016,0.7890722354253134,975.2081693835122,0.3,125,35
26,16.376940896126918,16.57355100716455,0.7890722354253134,975.2081693835122,0.3,125,35
27,15.612138261109026,15.68470685742552,0.8174338340759277,754.0206513704164,0.3,130,35
28,16.126777964903493,16.91054935964272,0.8174338340759277,754.0206513704164,0.3,130,35
29,16.18480385968772,16.250849058206004,0.8174338340759277,754.0206513704164,0.3,130,35
