,RMSE,std_RMSE,S_score,std_S_score,MSE,std_MSE,alpha,epochs,nodes,dropout,activation,batch_size,sequence_length,sensor_length
0,18.080071859403663,11.387170957612117,2272.281742734923,2971.399183624979,441.5444590250651,458.8803171540859,0.3,15,[128],0.1,tanh,256,25,21
1,11.87372193902783,1.0365860136536507,258.3475772480942,78.44896102318236,125.79474639892578,4.214240089599,0.3,15,[128],0.4,tanh,32,15,21
2,21.98384962811103,8.888450746209024,3861.0614421663813,3868.791120784145,476.0130259195964,407.186940307619,0.6,15,[64],0.1,sigmoid,64,10,21
3,9.71514247310156,0.680854309134655,160.17364755983505,35.26494112555551,92.81705729166667,5.390241025535548,0.1,15,[64],0.3,tanh,32,20,21
4,11.787524324900081,0.8850376214415419,246.84118781970093,80.06568105053704,126.61810302734375,13.013060605615882,0.6,15,[256],0.1,tanh,64,20,21
5,20.43836432107139,11.706233434114127,1067.6802638088009,1172.0671952874268,570.6890741984049,609.4715567035762,0.6,15,"[32, 64]",0.2,tanh,256,20,21
6,9.809969268570546,0.644181753656626,156.27808577406938,34.874329036831,97.46567026774089,7.314395754549297,0.1,15,"[64, 128]",0.3,tanh,32,20,21
7,18.66540358831681,10.979021224133016,2315.909400915894,3019.2591402898083,448.06228892008465,449.8409611982416,0.2,15,[64],0.4,tanh,128,20,21
8,18.547625386144713,13.239432936177705,994.6946621758133,1220.4999454481815,531.8706080118815,616.8632731634434,0.3,15,"[32, 64]",0.3,sigmoid,128,35,21
9,21.972984174709794,10.765599166965933,1783.3334307670648,1132.4813587508404,605.1919097900391,590.7929625598408,0.05,15,[32],0.4,tanh,128,10,21
