,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,0.4085405468940735,0.039437487721443176,0.3481864631175995,0.5045606434345246,0.14267889908256876,0.24619402985074618,-0.28946740627288814,0.018315018315018316,0.3829681617771742,0.2,120,39,lime
0,1.0,1.0,1.0,0.367748498916626,0.290816068649292,0.31913745403289795,0.6572501242160798,0.44407339449541283,1.0,0.2763373464345932,0.018315018315018316,0.2826777696609497,0.2,120,39,shap
0,1.0,1.0,1.0,0.3658182869831026,0.6720123434807715,0.3247138337642756,0.428603982925415,0.0225321100917431,1.0,0.14602338671684267,0.018315018315018316,0.5333337783813477,0.2,120,39,l2x
0,1.0,1.0,1.0,0.435543954372406,0.021450933068990707,0.3271789252758026,0.5651857793331146,0.07185321100917429,0.5701268656716417,-0.10462092161178593,0.018315018315018316,0.5280131723821082,0.2,125,39,lime
0,1.0,1.0,1.0,0.4255144000053406,0.020021013915538788,0.31773754954338074,0.7697463244199753,0.8609908256880734,1.0,0.16407697796821596,0.018315018315018316,0.5338215231895447,0.2,125,39,shap
0,1.0,1.0,1.0,0.4058156386409921,0.020448545679064605,0.36518840159408944,0.533910584449768,0.04242201834862384,1.0,0.1553213059902191,0.018315018315018316,0.6666664481163025,0.2,125,39,l2x
0,1.0,1.0,1.0,0.39882856607437134,1.9739376306533813,0.32200005650520325,0.4432057857513428,0.1809908256880734,0.4906716417910447,-0.14297810792922983,0.018315018315018316,0.44429689678134804,0.2,130,39,lime
0,1.0,1.0,1.0,0.3457522988319397,0.4172022342681885,0.3536221981048584,0.5881866663694382,0.47207339449541286,1.0,0.5859638859517873,0.018315018315018316,0.41878044605255127,0.2,130,39,shap
0,1.0,1.0,1.0,0.6752153693970936,0.004151763169558734,0.437211266786718,0.5064411401748657,0.03214678899082567,1.0,0.23755749464035036,0.018315018315018316,0.2500007152557373,0.2,130,39,l2x
0,1.0,1.0,1.0,0.3955177664756775,0.0628662034869194,0.31053492426872253,0.4859937846660614,0.12264220183486237,0.23193283582089536,-0.04211404323577872,0.018315018315018316,0.4168934661184672,0.3,120,39,lime
0,1.0,1.0,1.0,0.37335893511772156,0.2529979646205902,0.29535940289497375,0.48514721393585203,0.4520733944954129,1.0,0.37806184589862823,0.018315018315018316,0.36625319719314575,0.3,120,39,shap
0,1.0,1.0,1.0,0.3600320897190703,2.81189589944793,0.3413107878333274,0.45631645917892455,0.04565137614678896,1.0,0.2810755670070648,0.018315018315018316,0.6000000238418579,0.3,120,39,l2x
0,1.0,1.0,1.0,0.35374268889427185,0.0048220036551356316,0.304603636264801,0.5210364639759064,0.031853211009174286,0.5130820895522388,0.0005438804626465288,0.018315018315018316,0.6130243463514332,0.3,125,39,lime
0,1.0,1.0,1.0,0.34807318449020386,0.03888052701950073,0.2999100089073181,0.6518067479133606,0.5366605504587156,1.0,0.3835202038288117,0.018315018315018316,0.4300989508628845,0.3,125,39,shap
0,1.0,1.0,1.0,0.42803430310380275,4.844655012727922,0.37100128415665706,0.450334244966507,0.0255412844036697,1.0,0.3698481440544128,0.018315018315018316,0.6000017523765564,0.3,125,39,l2x
0,1.0,1.0,1.0,0.2248695343732834,0.24700823426246643,0.2676257789134979,0.5317387402057647,0.10352293577981649,0.8329402985074627,-0.09465965032577506,0.018315018315018316,0.36367763718473756,0.3,130,39,lime
0,1.0,1.0,1.0,0.3916396498680115,0.0986536517739296,0.33201920986175537,0.8040291711688041,0.39288073394495415,1.0,0.371664696931839,0.018315018315018316,0.3465694189071655,0.3,130,39,shap
0,1.0,1.0,1.0,0.42492099221004376,0.11519132480772738,0.3670138643837277,0.5820349991321564,0.028110091743119237,1.0,0.3338812708854675,0.018315018315018316,0.40000009536743164,0.3,130,39,l2x
