,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,0.28519076108932495,16.4398136138916,0.277673602104187,0.702973484992981,0.0928060263653484,0.6453333333333333,-0.1400665283203124,0.018796992481203006,0.5323953081744556,0.3,120,38,lime
0,1.0,1.0,1.0,0.2857363224029541,15.978976249694824,0.27854761481285095,0.8860189512372016,0.7936723163841808,1.0,0.35333796143531804,0.018796992481203006,0.3906800448894501,0.3,120,38,shap
0,1.0,1.0,1.0,0.32495552970504854,11.880184136175577,0.3000880646601548,0.6925138652324676,0.03080979284369114,1.0,0.2963240265846252,0.018796992481203006,0.45714282989501953,0.3,120,38,l2x
0,1.0,1.0,1.0,0.783631443977356,0.2060442864894867,0.34850871562957764,0.5105408012866974,0.16866290018832392,0.5862222222222222,-0.3446434974670409,0.018796992481203006,0.5171956611889226,0.3,125,38,lime
0,1.0,1.0,1.0,0.11496994644403458,18.816577911376953,0.15025164186954498,0.546948516368866,0.6472693032015066,1.0,0.22695144414901736,0.018796992481203006,0.4264702796936035,0.3,125,38,shap
0,1.0,1.0,1.0,0.6072111269858766,0.017415719131718813,0.5139307037246451,0.5125406861305237,0.04399246704331451,1.0,0.1733144640922546,0.018796992481203006,0.440000057220459,0.3,125,38,l2x
0,1.0,1.0,1.0,0.2757275700569153,324.04095458984375,0.29373669624328613,0.5606636524200439,0.15555555555555553,0.5882605363984673,-0.17894996404647823,0.018796992481203006,0.3203142818257649,0.3,130,38,lime
0,1.0,1.0,1.0,0.27655962109565735,1129.1268310546875,0.295958548784256,0.8088683977723121,0.432316384180791,1.0,0.3603815913200379,0.018796992481203006,0.5593024492263794,0.3,130,38,shap
0,1.0,1.0,1.0,0.2981034225394775,338.91171820753567,0.28203523989442386,0.5114048540592193,0.02764595103578154,1.0,0.3352302789688111,0.018796992481203006,0.6000005006790161,0.3,130,38,l2x
0,1.0,1.0,1.0,0.2705506682395935,29.989166259765625,0.2540002167224884,0.7374553948640823,0.10199623352165724,0.5474942528735631,-0.207031500339508,0.018796992481203006,0.3364837544740755,0.5,120,38,lime
0,1.0,1.0,1.0,0.2715858519077301,48.25080871582031,0.2563309371471405,0.8854837238788604,0.3165348399246704,1.0,0.20674076080322268,0.018796992481203006,0.30242666602134705,0.5,120,38,shap
0,1.0,1.0,1.0,0.3147008086938997,36.41941542697009,0.29372731568578786,0.7153041362762451,0.03721280602636535,1.0,0.15782154798507686,0.018796992481203006,0.4000000059604645,0.5,120,38,l2x
