,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,explainer
0,1.0,1.0,1.0,0.1509244740009308,4.1456098556518555,0.23674464225769043,0.6318316034972667,0.04884615384615386,lime_1c
0,1.0,1.0,0.95,0.14789152145385742,0.5689011812210083,0.23291201889514923,0.5873771026730538,0.45323792486583186,shap_1c
0,1.0,1.0,1.0,0.21638097287386363,2.378320942708081,0.3084559018936075,0.615225038677454,0.03418604651162791,l2x_1c
0,1.0,1.0,0.95,0.16001543402671814,0.21866419911384583,0.25010672211647034,0.7444383464753628,0.10876565295169946,lime_1c
0,1.0,1.0,0.95,0.1579330861568451,0.33322957158088684,0.2513168752193451,0.7284815318882465,0.4347048300536673,shap_1c
0,1.0,1.0,0.9,0.17616019210873576,38.0701581906039,0.2627404707230963,0.7830418169498443,0.029785330948121653,l2x_1c
0,1.0,1.0,0.95,0.1653086543083191,0.7513936758041382,0.2558945417404175,0.7717046797275543,0.04549194991055458,lime_1c
0,1.0,1.0,0.95,0.16523312032222748,0.3200111985206604,0.2559475898742676,0.7851615196093917,0.403613595706619,shap_1c
0,1.0,1.0,0.9,0.18182842546810635,13.86703083039588,0.2718927043495621,0.7871556207537651,0.028032200357781756,l2x_1c
0,1.0,1.0,0.95,0.16629591584205627,32.26226043701172,0.2602246105670929,0.764758106507361,0.09699463327370306,lime_4c
0,1.0,1.0,0.95,0.1662960648536682,9.55862808227539,0.26023030281066895,0.796609633974731,0.3685330948121646,shap_4c
0,1.0,1.0,0.95,0.1819517297873658,3.906035123779552,0.2727254137299367,0.7213744964450598,0.032325581395348836,l2x_4c
