,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,explainer
0,1.0,1.0,1.0,0.179870143532753,1.076232671737671,0.2214389443397522,0.5955449774861336,0.06300536672629696,0.647030303030303,0.07265202403068538,0.017857142857142856,0.7407629615779023,lime_4c
0,1.0,1.0,1.0,0.1759345531463623,1.7873430252075195,0.21762718260288239,0.61872269064188,0.43250447227191413,1.0,0.5452655355859406,0.017857142857142856,0.4143301248550415,shap_4c
0,1.0,1.0,1.0,0.18214827742434542,0.3914577383114575,0.2294446916271636,0.5734158635139466,0.049624329159212874,1.0,0.3492363840341568,0.017857142857142856,0.6872727274894714,l2x_4c
0,1.0,1.0,1.0,0.1930922567844391,39.158138275146484,0.21413561701774597,0.5673965036869049,0.15069767441860465,0.6549494949494948,0.061329543590545654,0.017857142857142856,0.6491251772319327,lime_4c
0,1.0,1.0,1.0,0.18735232949256897,7.6465044021606445,0.20927289128303528,0.579907052218914,0.584561717352415,1.0,0.5124991278082234,0.017857142857142856,0.45127472281455994,shap_4c
0,1.0,1.0,1.0,0.15679556036563083,11.648584583374424,0.17692647663523128,0.5884159699082374,0.02640429338103757,1.0,0.3339388072490692,0.017857142857142856,0.6272727847099304,l2x_4c
0,1.0,1.0,1.0,0.1738012135028839,15.404428482055664,0.2756040394306183,0.6569868892431259,0.09327370304114489,0.6076606060606059,-0.0008162558078765869,0.017857142857142856,0.412468417575628,lime_4c
0,1.0,1.0,0.9,0.16962864995002747,2.6976370811462402,0.27413418889045715,0.6730023249983788,0.47874776386404294,1.0,0.27773875892162325,0.008928571428571428,0.40802767872810364,shap_4c
0,1.0,1.0,1.0,0.1747428537846087,0.188171406126015,0.2688204953430083,0.661762923002243,0.03373881932021467,1.0,0.20645788908004759,0.017857142857142856,0.4888885021209717,l2x_4c
0,1.0,1.0,1.0,0.2624506652355194,0.19984742999076843,0.2788798213005066,0.5652404367923737,0.13509838998211093,0.5601454545454545,0.07251894474029541,0.017857142857142856,0.48316241529798437,lime_4c
0,1.0,1.0,0.8,0.2548765242099762,0.44162288308143616,0.27411800622940063,0.6900168299674988,0.5906082289803221,1.0,0.3476723670959473,0.017857142857142856,0.3661805987358093,shap_4c
0,1.0,1.0,1.0,0.25887679186604207,2.0954247963120465,0.3071642552109862,0.5928189218044281,0.037459749552772814,1.0,0.2735813140869141,0.017857142857142856,0.5294117331504822,l2x_4c
0,1.0,1.0,1.0,0.36508360505104065,0.10351870208978653,0.3531917929649353,0.5165755569934845,0.1215742397137746,0.729389898989899,0.047353988885879494,0.017857142857142856,0.5013089004196618,lime_4c
0,1.0,1.0,1.0,0.3562868535518646,0.3403058648109436,0.34728410840034485,0.6998160645365715,0.36220035778175314,1.0,0.3384895840836947,0.017857142857142856,0.27047106623649597,shap_4c
0,1.0,1.0,1.0,0.38033221498087044,4.927316569432245,0.35609004650627313,0.5591223821043968,0.04457960644007156,1.0,0.18620826005935665,0.017857142857142856,0.7426471710205078,l2x_4c
