,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer,model
0,1.0,1.0,1.0,0.4507845342159271,0.004569532349705696,0.35557156801223755,0.5329426020383835,0.0462529832935561,0.7725853658536584,-0.8115130543708802,0.023809523809523808,0.3470975838929092,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.45006805658340454,0.007461991161108017,0.3548923134803772,0.8800231903791428,0.4513603818615752,1.0,0.011182606220245361,0.023809523809523808,0.4862414002418518,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.5467941127365142,0.0206896972439044,0.4379314627441975,0.5824776768684388,0.02711217183770883,1.0,-0.11459329128265372,0.023809523809523808,0.41538453102111816,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.5818435549736023,0.011897565796971321,0.39126843214035034,0.4764898896217346,0.025043754972155934,0.7418536585365854,-1.5671725630760194,0.023809523809523808,0.6581035097947979,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.5805608034133911,0.0029188357293605804,0.39008629322052,0.8638382285833359,0.4370405727923628,1.0,-0.28003455400466915,0.023809523809523808,0.38700810074806213,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.73885012583035,0.011697354888099582,0.4546785549508682,0.5739239811897278,0.03923627684964202,1.0,-0.44613929986953726,0.023809523809523808,0.5600006580352783,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.31230080127716064,0.002742517041042447,0.32558533549308777,0.6612535297870636,0.015322195704057285,0.813560975609756,-0.6402229428291322,0.023809523809523808,0.3985689560482128,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.3119278848171234,0.002096811542287469,0.32459789514541626,0.8865470096468926,0.4767541766109785,1.0,0.14066696166992188,0.023809523809523808,0.5009430646896362,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.33164698473528476,16.689317470297947,0.3104913075960904,0.6172546446323395,0.06778042959427208,1.0,0.06968184709548952,0.023809523809523808,0.4571423828601837,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.25650152564048767,0.0133676677942276,0.34625443816185,0.6130574822425843,0.018615751789976143,0.7582439024390244,-0.5579938054084779,0.023809523809523808,0.5691490606564144,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.2559075951576233,0.04254612326622009,0.34552496671676636,0.8527763113379478,0.4815274463007159,1.0,0.1783722281455994,0.023809523809523808,0.539303719997406,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.30325614901662856,1.7710656198232386,0.3359540808179351,0.5459153592586518,0.0345584725536993,1.0,0.13120992779731755,0.023809523809523808,0.505882203578949,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.28020811080932617,0.0008675381541252136,0.21337026357650757,0.6472272902727128,0.008305489260143201,0.7459512195121951,-0.0307539701461792,0.023809523809523808,0.4448226705648381,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.280007928609848,0.0019430490210652351,0.2132447212934494,0.8920336395502091,0.4720763723150359,1.0,0.28414397239685063,0.023809523809523808,0.47201165556907654,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.5476328665083362,0.040144558252798654,0.35447081562966337,0.5840613961219787,0.021479713603818618,1.0,0.2770218133926392,0.023809523809523808,0.47999900579452515,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.41786104440689087,0.008321622386574745,0.3290467858314514,0.5160584807395935,0.01260143198090693,0.7582439024390244,-1.1655566498637198,0.023809523809523808,0.3286108454417653,0.3,130,30,lime,model_2l
0,1.0,1.0,1.0,0.41445618867874146,0.05146582052111626,0.3261011242866516,0.9120417460799217,0.4513603818615752,1.0,0.24798930287361143,0.023809523809523808,0.5285345911979675,0.3,130,30,shap,model_2l
0,1.0,1.0,1.0,0.5001294811604083,0.051193006620324166,0.40991317688011963,0.5892064869403839,0.021479713603818618,1.0,0.17033025026321413,0.023809523809523808,0.42499998211860657,0.3,130,30,l2x,model_2l
0,1.0,1.0,1.0,0.569783091545105,0.23735693097114563,0.38750261068344116,0.4816019177436829,0.01766109785202865,0.7766829268292683,-3.5830147191882133,0.023809523809523808,0.6863446418047129,0.3,130,30,lime,model_2l
0,1.0,1.0,1.0,0.5651283264160156,0.20691058039665222,0.38436657190322876,0.8252806149423122,0.3807159904534606,1.0,0.17209593057632444,0.023809523809523808,0.27056658267974854,0.3,130,30,shap,model_2l
0,1.0,1.0,1.0,0.6790853367639236,0.2151042331770227,0.42402638804232456,0.5921662807464599,0.05231503579952268,1.0,0.0823285222053528,0.023809523809523808,0.46666696667671204,0.3,130,30,l2x,model_2l
0,1.0,1.0,1.0,0.27217450737953186,0.004284451715648174,0.3070673644542694,0.6490655362606048,0.02892601431980908,0.7131707317073172,-0.3427550584077834,0.023809523809523808,0.38227480225055593,0.3,130,30,lime,model_2l
0,1.0,1.0,1.0,0.26984041929244995,0.021390322595834732,0.3045524060726166,0.911099836975336,0.40066825775656323,1.0,0.37559396028518677,0.023809523809523808,0.6933598518371582,0.3,130,30,shap,model_2l
0,1.0,1.0,1.0,0.296745116076431,8.055916314055947,0.3053209632576472,0.6550323635339736,0.05422434367541766,1.0,0.3277686834335327,0.023809523809523808,0.4666669964790344,0.3,130,30,l2x,model_2l
