,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer
0,1.0,1.0,1.0,8.940697071579962e-09,0.9999998807907104,1.7881394143159923e-08,0.5029601097106934,0.4752267303102625,0.0022439024390241923,0.5423827409744263,0.023809523809523808,0.5465565885117929,0.3,130,30,lime
0,1.0,1.0,1.0,8.940697071579962e-09,1.0,1.7881394143159923e-08,0.4201903700828552,0.45517899761336517,1.0,0.9999999625793723,0.023809523809523808,0.5946877598762512,0.3,130,30,shap
0,1.0,1.0,1.0,5.7766481008358905e-09,0.999999601855644,7.141777308380025e-09,0.5162193834781647,0.03818615751789977,1.0,0.9999999569662776,0.023809523809523808,0.5500003695487976,0.3,130,30,l2x
