,RMSE_val,RMSE_test,R2_test,Score_test,alpha,upper,sequence_length
12,10.750539012081813,12.265851128861758,0.8573953419916439,560.8419330804688,0.2,130,38
9,10.986527602355723,12.371460017251758,0.8363391512965341,1255.5232834936066,0.3,120,39
6,10.32850062254262,12.518457661556091,0.7316723274370265,24447.57238097982,0.5,130,39
6,11.246209078081808,12.562232434255224,0.8867478056634931,318.7942086215947,0.2,130,30
15,11.99096339436494,12.93592411573786,0.8841965129102644,316.8268779807124,0.3,130,30
