,RMSE_val,RMSE_test,R2_test,Score_test,alpha,rul_piecewise,sequence_length,model
0,14.440914922667156,14.906068653661798,0.8583545883496603,525.1387052079839,0.3,130,30,model_1l
1,17.036859383017713,14.93733635345994,0.8583545883496603,525.1387052079839,0.3,130,30,model_1l
2,14.32068170299433,16.065642806393654,0.8583545883496603,525.1387052079839,0.3,130,30,model_1l
3,13.496344177307563,13.496343695987633,0.8899623155593872,277.4825990840591,0.3,130,30,model_2l
4,14.458862881302682,14.458862455146779,0.8737075328826904,463.0936475080579,0.3,130,30,model_3l
5,13.682594012330044,13.682594054706211,0.8869042992591858,291.9339435791265,0.3,130,30,model_4l
