,RMSE_val,RMSE_test,R2_test,Score_test,alpha,upper,sequence_length
6,14.57042874450948,14.472736702683534,0.8455331126848856,472.3490966683451,0.5,130,40
99,14.432494249393937,14.979863897223218,0.8114759922027588,992.7614868510152,0.2,130,40
105,14.979057951821384,15.10036040359056,0.8344786763191223,562.4449302480383,0.3,125,40
3,14.575242128536622,15.253357258024456,0.785909096399943,1270.2619957740444,0.2,125,30
12,14.546898076646572,15.26131452747796,0.8221945563952128,662.6814067381814,0.2,120,35
