;;;;;alpha;upper;sequence_length;RMSE_test;R2_test;Score_test
12;;;;;0,2;130;38;12,27;0,86;560,84
9;;;;;0,3;120;39;12,37;0,84;1255,52
6;;;;;0,5;130;39;12,52;0,73;24447,57
6;;;;;0,2;130;30;12,56;0,89;318,79
15;;;;;0,3;130;30;12,94;0,88;316,83
