;;;;;alpha;upper;sequence_length;RMSE_test;R2_test;Score_test
6;;;;;0,5;130;40;14,47;0,85;472,35
99;;;;;0,2;130;40;14,98;0,81;992,76
105;;;;;0,3;125;40;15,10;0,83;562,44
3;;;;;0,2;125;30;15,25;0,79;1270,26
12;;;;;0,2;120;35;15,26;0,82;662,68
